iter	Passed	Remaining
0	168	50368
1	183	27340
2	193	19204
3	200	14869
4	207	12248
5	214	10503
6	223	9375
7	232	8473
8	238	7717
9	245	7120
10	251	6618
11	258	6204
12	264	5849
13	271	5541
14	278	5292
15	284	5057
16	292	4862
17	298	4670
18	304	4506
19	311	4361
20	317	4222
21	325	4107
22	331	3989
23	338	3893
24	344	3789
25	350	3696
26	357	3618
27	364	3536
28	371	3469
29	377	3396
30	384	3334
31	390	3270
32	396	3211
33	403	3156
34	409	3103
35	416	3055
36	422	3005
37	429	2958
38	435	2915
39	442	2873
40	448	2832
41	455	2795
42	461	2759
43	468	2723
44	474	2688
45	481	2659
46	491	2645
47	498	2615
48	504	2582
49	510	2554
50	517	2524
51	522	2493
52	529	2469
53	536	2442
54	543	2421
55	549	2394
56	555	2369
57	562	2346
58	568	2321
59	575	2301
60	581	2277
61	587	2256
62	594	2235
63	600	2215
64	607	2196
65	613	2175
66	620	2158
67	626	2137
68	632	2119
69	639	2100
70	645	2082
71	652	2066
72	659	2050
73	666	2034
74	672	2016
75	678	1999
76	685	1984
77	691	1968
78	697	1952
79	705	1939
80	712	1925
81	719	1913
82	727	1902
83	733	1887
84	739	1871
85	747	1859
86	753	1843
87	759	1830
88	766	1816
89	772	1802
90	779	1790
91	785	1775
92	792	1763
93	798	1749
94	804	1736
95	810	1722
96	816	1709
97	824	1698
98	830	1685
99	836	1672
100	842	1659
101	848	1647
102	855	1635
103	861	1623
104	867	1611
105	873	1599
106	879	1587
107	886	1576
108	893	1565
109	899	1553
110	905	1542
111	912	1531
112	919	1520
113	925	1509
114	932	1499
115	937	1487
116	943	1476
117	950	1466
118	956	1454
119	963	1445
120	969	1434
121	975	1423
122	982	1413
123	987	1402
124	995	1393
125	1001	1382
126	1007	1372
127	1014	1362
128	1020	1352
129	1027	1343
130	1033	1332
131	1039	1323
132	1045	1312
133	1051	1302
134	1058	1293
135	1064	1283
136	1071	1274
137	1077	1264
138	1083	1255
139	1089	1245
140	1096	1236
141	1102	1226
142	1108	1217
143	1114	1207
144	1121	1199
145	1128	1189
146	1134	1180
147	1140	1171
148	1146	1161
149	1154	1154
150	1160	1144
151	1166	1136
152	1172	1126
153	1178	1117
154	1186	1109
155	1192	1100
156	1201	1094
157	1208	1086
158	1215	1078
159	1221	1068
160	1227	1060
161	1234	1051
162	1240	1042
163	1247	1034
164	1253	1025
165	1259	1016
166	1266	1008
167	1272	999
168	1279	991
169	1285	982
170	1291	974
171	1297	965
172	1304	957
173	1310	949
174	1316	940
175	1323	932
176	1329	923
177	1335	915
178	1342	907
179	1348	899
180	1355	890
181	1361	882
182	1367	874
183	1374	866
184	1380	857
185	1386	849
186	1392	841
187	1398	833
188	1406	825
189	1412	817
190	1419	809
191	1425	801
192	1431	793
193	1437	785
194	1444	777
195	1450	769
196	1457	761
197	1463	753
198	1469	745
199	1475	737
200	1482	730
201	1488	722
202	1495	714
203	1501	706
204	1507	698
205	1514	690
206	1520	683
207	1527	675
208	1532	667
209	1539	659
210	1546	652
211	1552	644
212	1558	636
213	1564	628
214	1570	620
215	1577	613
216	1583	605
217	1590	598
218	1596	590
219	1602	582
220	1609	575
221	1615	567
222	1622	560
223	1628	552
224	1634	544
225	1641	537
226	1647	529
227	1654	522
228	1660	514
229	1666	507
230	1673	499
231	1680	492
232	1687	485
233	1695	478
234	1702	470
235	1708	463
236	1714	455
237	1721	448
238	1727	440
239	1734	433
240	1740	426
241	1751	419
242	1757	412
243	1765	405
244	1771	397
245	1778	390
246	1784	382
247	1790	375
248	1797	368
249	1803	360
250	1810	353
251	1816	345
252	1822	338
253	1828	331
254	1835	323
255	1842	316
256	1848	309
257	1855	302
258	1861	294
259	1867	287
260	1874	280
261	1880	272
262	1886	265
263	1892	258
264	1898	250
265	1905	243
266	1911	236
267	1917	228
268	1923	221
269	1929	214
270	1936	207
271	1942	199
272	1949	192
273	1955	185
274	1961	178
275	1968	171
276	1974	163
277	1981	156
278	1987	149
279	1993	142
280	2000	135
281	2006	128
282	2013	120
283	2019	113
284	2025	106
285	2032	99
286	2038	92
287	2045	85
288	2051	78
289	2057	70
290	2063	63
291	2070	56
292	2076	49
293	2083	42
294	2089	35
295	2095	28
296	2102	21
297	2109	14
298	2115	7
299	2121	0
